Study_no,Author,Publication date,Title
810,"Schallig, H. D.",2002,Evaluation of the direct agglutination test and the rK39 dipstick test for the sero-diagnosis of visceral leishmaniasis
823,"Seaman, J.",1992,Visceral leishmaniasis in southern Sudan: status of healthy villagers in epidemic conditions
829,"Semiao-Santos, S. J.",1995,Evora district as a new focus for canine leishmaniasis in Portugal
852,"Silva, E. S.",2005,"Application of direct agglutination test (DAT) and fast agglutination screening test (FAST) for sero-diagnosis of visceral leishmaniasis in endemic area of Minas Gerais, Brazil"
855,"Singh, A. K.",2018,Identification of clinical immunological determinants in asymptomatic VL and post kala-azar dermal leishmaniasis patients
928,"Topno, R. K.",2010,"Asymptomatic infection with visceral leishmaniasis in a disease-endemic area in bihar, India"
935,"Vallur, A. C.",2014,Biomarkers for intracellular pathogens: Establishing tools as vaccine and therapeutic endpoints for visceral leishmaniasis
949,"Veeken, H.",2003,Comparison of an rK39 dipstick rapid test with direct agglutination test and splenic aspiration for the diagnosis of kala-azar in Sudan
970,"Zijlstra, E. E.",1991,Direct agglutination test for diagnosis and sero-epidemiological survey of kala-azar in the Sudan
976,"Zijlstra, E. E.",2001,Diagnosing visceral leishmaniasis with the recombinant K39 strip test: experience from the Sudan
